# Report

name | result
th06::MidiTimer::DefaultTimerCallback | 100.00%
[th06::ResultScreen::OnUpdate](#user-content-th06____resultscreen____onupdate) | 99.16%
[th06::ResultScreen::OnDraw](#user-content-th06____resultscreen____ondraw) | 97.36%
th06::ResultScreen::LinkScore | 100.00%
th06::ResultScreen::FreeScore | 100.00%
[th06::ResultScreen::FreeAllScores](#user-content-th06____resultscreen____freeallscores) | 99.89%
th06::ResultScreen::ReleaseScoreDat | 100.00%
th06::ResultScreen::LinkScoreEx | 100.00%
[th06::ResultScreen::RegisterChain](#user-content-th06____resultscreen____registerchain) | 97.23%
th06::ResultScreen::ResultScreen | 100.00%
[th06::ResultScreen::DrawFinalStats](#user-content-th06____resultscreen____drawfinalstats) | 87.00%
[th06::ResultScreen::MoveCursor](#user-content-th06____resultscreen____movecursor) | 92.81%
[th06::ResultScreen::OpenScore](#user-content-th06____resultscreen____openscore) | 99.84%
[th06::ResultScreen::HandleResultKeyboard](#user-content-th06____resultscreen____handleresultkeyboard) | 98.62%
[th06::ResultScreen::HandleReplaySaveKeyboard](#user-content-th06____resultscreen____handlereplaysavekeyboard) | 98.86%
[th06::ResultScreen::MoveCursorHorizontally](#user-content-th06____resultscreen____movecursorhorizontally) | 98.14%
[th06::ResultScreen::CheckConfirmButton](#user-content-th06____resultscreen____checkconfirmbutton) | 99.35%
[th06::ResultScreen::WriteScore](#user-content-th06____resultscreen____writescore) | 99.80%
th06::ResultScreen::ParseCatk | 100.00%
th06::ResultScreen::ParseClrd | 100.00%
th06::ResultScreen::ParsePscr | 100.00%
[th06::ResultScreen::AddedCallback](#user-content-th06____resultscreen____addedcallback) | 99.36%
[th06::ResultScreen::DeletedCallback](#user-content-th06____resultscreen____deletedcallback) | 99.09%
th06::ResultScreen::GetHighScore | 100.00%
[th06::Stage::Stage](#user-content-th06____stage____stage) | 41.55%
[th06::Stage::RegisterChain](#user-content-th06____stage____registerchain) | 82.82%
[th06::Stage::CutChain](#user-content-th06____stage____cutchain) | 94.00%
[th06::Stage::AddedCallback](#user-content-th06____stage____addedcallback) | 93.35%
[th06::Stage::DeletedCallback](#user-content-th06____stage____deletedcallback) | 99.51%
[th06::Stage::LoadStageData](#user-content-th06____stage____loadstagedata) | 99.76%
[th06::Stage::OnUpdate](#user-content-th06____stage____onupdate) | 99.21%
[th06::Stage::OnDrawLowPrio](#user-content-th06____stage____ondrawlowprio) | 89.55%
[th06::Stage::OnDrawHighPrio](#user-content-th06____stage____ondrawhighprio) | 84.40%
[th06::Stage::UpdateObjects](#user-content-th06____stage____updateobjects) | 99.73%
[th06::Stage::RenderObjects](#user-content-th06____stage____renderobjects) | 94.73%
[th06::StageMenu::StageMenu](#user-content-th06____stagemenu____stagemenu) | 84.50%
[th06::StageMenu::OnUpdateGameMenu](#user-content-th06____stagemenu____onupdategamemenu) | 98.34%
[th06::StageMenu::OnDrawGameMenu](#user-content-th06____stagemenu____ondrawgamemenu) | 62.64%
[th06::StageMenu::OnUpdateRetryMenu](#user-content-th06____stagemenu____onupdateretrymenu) | 94.39%
[th06::StageMenu::OnDrawRetryMenu](#user-content-th06____stagemenu____ondrawretrymenu) | 92.71%
th06::TextHelper::TextHelper | 100.00%
th06::TextHelper::~TextHelper | 100.00%
[th06::TextHelper::ReleaseBuffer](#user-content-th06____texthelper____releasebuffer) | 99.52%
[th06::TextHelper::CreateTextBuffer](#user-content-th06____texthelper____createtextbuffer) | 95.38%
[th06::TextHelper::RenderTextToTexture](#user-content-th06____texthelper____rendertexttotexture) | 91.94%
th06::TextHelper::AllocateBufferWithFallback | 100.00%
[th06::TextHelper::TryAllocateBuffer](#user-content-th06____texthelper____tryallocatebuffer) | 99.85%
[th06::TextHelper::GetFormatInfo](#user-content-th06____texthelper____getformatinfo) | 99.55%
th06::TextHelper::InvertAlpha | 100.00%
th06::TextHelper::CopyTextToSurface | 100.00%
[th06::TextHelper::ReleaseTextBuffer](#user-content-th06____texthelper____releasetextbuffer) | 92.13%
[th06::Supervisor::AddedCallback](#user-content-th06____supervisor____addedcallback) | 82.88%
[th06::Supervisor::DeletedCallback](#user-content-th06____supervisor____deletedcallback) | 99.69%
[th06::Supervisor::ReleasePbg3](#user-content-th06____supervisor____releasepbg3) | 99.91%
[th06::Supervisor::LoadPbg3](#user-content-th06____supervisor____loadpbg3) | 99.68%
